Device TU106
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
gpc__cycles_elapsed                                                         # of cycles where GPC was active                                                                   
lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_surface_op_red                  # of sectors requested for surface reductions                                                      
lts__t_requests_aperture_sysmem_op_membar                                   # of LTS requests accessing system memory (sysmem) for memory barriers                             
lts__t_sectors_equiv_l1tagmiss_pipe_lsu_mem_global_op_atom                  # of sectors requested for global atomics                                                          
sm__idc_divergent_instructions                                              # of instructions sent to IDC that had address divergence                                          
lts__t_requests_aperture_peer_op_write                                      # of LTS requests accessing peer memory (peermem) for writes                                       
lts__t_sectors_op_atom_dot_cas_lookup_hit                                   # of LTS sectors for atomic CAS that hit                                                           
smsp__inst_executed_op_ldc_pred_on_any                                      # of warp instructions executed with at least 1 thread predicated on: LDC                          
lts__t_requests_aperture_peer_op_read_lookup_miss                           # of LTS requests accessing peer memory (peermem) for reads that missed                            
lts__t_requests_aperture_peer_op_atom_dot_cas                               # of LTS requests accessing peer memory (peermem) for atomic CAS                                   
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_alu_lookup_miss        # of LTS sectors from unit TEX accessing peer memory (peermem) for atomic ALU (non-CAS) that missed
lts__t_sectors_aperture_sysmem                                              # of LTS sectors accessing system memory (sysmem)                                                  
l1tex__cycles_in_frame                                                      # of cycles in user-defined frame                                                                  
dram__cycles_active                                                         # of cycles where DRAM was active                                                                  
smsp__inst_executed_pipe_xu                                                 # of warp instructions executed by xu pipe                                                         
lts__t_sectors_srcunit_l1_aperture_peer_op_red_lookup_hit                   # of LTS sectors from unit L1 accessing peer memory (peermem) for reductions that hit              
l1tex__texin_requests_mem_surface_op_st                                     # of requests sent to TEXIN for surface store instructions (SUST)                                  
smsp__inst_executed_pipe_fp64                                               # of warp instructions executed by fp64 pipe                                                       
smsp__sass_inst_executed_op_local                                           # of warp instructions executed: LDL, LD, STL, ST                                                  
lts__t_requests_srcunit_tex_aperture_device_op_membar                       # of LTS requests from unit TEX accessing device memory (vidmem) for memory barriers               
lts__t_sectors_aperture_peer_op_atom_dot_alu                                # of LTS sectors accessing peer memory (peermem) for atomic ALU (non-CAS)                          
lts__t_sectors_aperture_sysmem_op_atom_lookup_miss                          # of LTS sectors accessing system memory (sysmem) for all atomics that missed                      
lts__t_sectors_srcunit_l1_aperture_device_op_atom_dot_cas_lookup_miss       # of LTS sectors from unit L1 accessing device memory (vidmem) for atomic CAS that missed          
fbpa__dram_read_bytes                                                       # of DRAM read bytes                                                                               
lts__t_requests_aperture_device_op_membar_lookup_hit                        # of LTS requests accessing device memory (vidmem) for memory barriers that hit                    
l1tex__t_bytes_lookup_hit                                                   # of bytes requested with tag-hit and data-hit                                                     
lts__t_requests_srcunit_l1_op_atom_dot_cas                                  # of LTS requests from unit L1 for atomic CAS                                                      
lts__t_requests_srcunit_tex_aperture_sysmem_op_write_lookup_hit             # of LTS requests from unit TEX accessing system memory (sysmem) for writes that hit               
lts__t_requests_srcunit_tex_aperture_peer_op_read_lookup_hit                # of LTS requests from unit TEX accessing peer memory (peermem) for reads that hit                 
lts__t_requests_srcunit_tex_aperture_peer_op_membar                         # of LTS requests from unit TEX accessing peer memory (peermem) for memory barriers                
lts__t_requests_aperture_sysmem_op_write_lookup_hit                         # of LTS requests accessing system memory (sysmem) for writes that hit                             
l1tex__t_set_accesses                                                       # of cache set accesses                                                                            
l1tex__t_requests_pipe_tex_mem_surface_op_st                                # of requests sent to T-Stage for surface stores                                                   
lts__t_requests_srcunit_tex_op_red_lookup_hit                               # of LTS requests from unit TEX for reductions that hit                                            
lts__t_requests_srcunit_l1_aperture_device_op_atom_dot_cas                  # of LTS requests from unit L1 accessing device memory (vidmem) for atomic CAS                     
lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_cas_lookup_hit          # of LTS sectors from unit L1 accessing peer memory (peermem) for atomic CAS that hit              
lts__xbar2lts_cycles_active                                                 # of cycles where interface from XBAR to LTS was active                                            
smsp__sass_inst_executed_op_ld                                              # of warp instructions executed: LDG, LD, LDS                                                      
lts__t_sectors_aperture_device_op_atom                                      # of LTS sectors accessing device memory (vidmem) for all atomics                                  
l1tex__t_bytes_pipe_tex_mem_texture_op_tex_lookup_miss                      # of bytes requested that missed for TEX instructions                                              
fbpa__dram_write_sectors                                                    # of DRAM write sectors                                                                            
lts__t_tag_requests_miss                                                    # of LTS requests with tag miss                                                                    
lts__t_sectors_srcunit_tex_aperture_device_lookup_hit                       # of LTS sectors from unit TEX accessing device memory (vidmem) that hit                           
l1tex__t_set_conflicts_pipe_tex_mem_surface_op_red                          # of extra cycles spent on set conflicts for surface reductions                                    
smsp__sass_inst_executed_op_shared_ld                                       # of warp instructions executed: LDS, LD                                                           
smsp__mio2rf_writeback_active                                               # of cycles where the MIO to register file writeback interface was active                          
lts__t_sectors_aperture_device_op_read                                      # of LTS sectors accessing device memory (vidmem) for reads                                        
lts__t_requests_srcunit_tex_aperture_peer_lookup_miss                       # of LTS requests from unit TEX accessing peer memory (peermem) that missed                        
lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_texture_op_tex                 # of bytes requested for TEX instructions                                                          
dram__cycles_active_read                                                    # of cycles where DRAM was active for reads                                                        
l1tex__m_xbar2l1tex_read_sectors_mem_texture                                # of sectors read from L2 into L1TEX M-Stage for texture                                            
lts__t_sectors_equiv_l1tagmiss_pipe_tex                                     # of sectors requested for TEX pipe                                                                 
fbpa__cycles_in_frame                                                       # of cycles in user-defined frame                                                                   
l1tex__data_pipe_tex_wavefronts_mem_texture                                 # of texture wavefronts processed by Data-Stage                                                     
l1tex__t_output_wavefronts_realtime                                         # of wavefronts sent to Data-Stage from T-Stage                                                     
lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_red                  # of bytes requested for global reductions                                                          
lts__t_sectors_srcunit_l1_op_read                                           # of LTS sectors from unit L1 for reads                                                             
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_dot_cas_lookup_hit        # of LTS sectors from unit L1 accessing system memory (sysmem) for atomic CAS that hit              
lts__t_requests_srcunit_tex_op_red_lookup_miss                              # of LTS requests from unit TEX for reductions that missed                                          
lts__t_requests_srcunit_tex_op_atom_lookup_hit                              # of LTS requests from unit TEX for all atomics that hit                                            
lts__t_requests_srcunit_tex_aperture_device_op_read_lookup_hit              # of LTS requests from unit TEX accessing device memory (vidmem) for reads that hit                 
lts__t_sectors_srcunit_tex_op_write_lookup_hit                              # of LTS sectors from unit TEX for writes that hit                                                  
lts__t_sectors_srcunit_tex_aperture_peer_op_membar_lookup_hit               # of LTS sectors from unit TEX accessing peer memory (peermem) for memory barriers that hit         
lts__t_sectors_aperture_sysmem_op_red_lookup_miss                           # of LTS sectors accessing system memory (sysmem) for reductions that missed                        
lts__t_requests_srcunit_l1_op_read_lookup_hit                               # of LTS requests from unit L1 for reads that hit                                                   
lts__t_requests_srcunit_tex_aperture_device_op_read_lookup_miss             # of LTS requests from unit TEX accessing device memory (vidmem) for reads that missed              
lts__t_sectors_op_red_lookup_hit                                            # of LTS sectors for reductions that hit                                                            
l1tex__data_pipe_lsu_wavefronts_mem_shared_cmd_write                        # of shared write wavefronts processed by Data-Stage                                                
lts__d_sectors_fill_sysmem                                                  # of sectors filled from system memory                                                              
tpc__cycles_active                                                          # of cycles where TPC was active                                                                    
lts__t_requests_srcunit_l1_aperture_sysmem_op_read                          # of LTS requests from unit L1 accessing system memory (sysmem) for reads                           
lts__t_requests_srcunit_tex_aperture_sysmem_op_read_lookup_hit              # of LTS requests from unit TEX accessing system memory (sysmem) for reads that hit                 
lts__t_sectors_srcunit_l1_aperture_sysmem_lookup_miss                       # of LTS sectors from unit L1 accessing system memory (sysmem) that missed                          
